,control,['state']
1144,-17,Light
1145,-17,Light
1146,-17,Light
1147,-20,Light
1148,331,Light
1149,-88,Light
1150,None,Light
1151,None,Light
1152,None,Light
1153,None,Light
1154,None,Light
1155,None,Light
1156,1,Lane
1157,-3,Lane
1158,-2,Lane
1159,-7,Lane
1160,-11,Lane
1161,-11,Lane
1162,-10,Lane
1163,-9,Lane
1164,-8,Lane
1165,-8,Lane
1166,-3,Lane
1167,-3,Lane
1168,-3,Lane
1169,-3,Lane
1170,-3,Lane
1171,-3,Lane
1172,-3,Lane
1173,-3,Lane
1174,-3,Lane
1175,-3,Lane
1176,-3,Lane
1177,-2,Lane
1178,-8,Lane
1179,-7,Lane
1180,-12,Lane
1181,-12,Lane
1182,-7,Lane
1183,-3,Lane
1184,-3,Lane
1185,-3,Lane
1186,-3,Lane
1187,-3,Lane
1188,-8,Lane
1189,-13,Lane
1190,-9,Lane
1191,-9,Lane
1192,-9,Lane
1193,-8,Lane
1194,-9,Lane
1195,-9,Lane
1196,-14,Lane
1197,-10,Lane
1198,-10,Lane
1199,-11,Lane
1200,-11,Lane
1201,-13,Lane
1202,-12,Lane
1203,-12,Lane
1204,-12,Lane
1205,-3,Lane
1206,-3,Lane
1207,-3,Lane
1208,-3,Lane
1209,-2,Lane
1210,-3,Lane
1211,-3,Lane
1212,-4,Lane
1213,-3,Lane
1214,-4,Lane
1215,-5,Lane
1216,-5,Lane
1217,-3,Lane
1218,-5,Lane
1219,-5,Lane
1220,-5,Lane
1221,-6,Lane
1222,-12,Lane
1223,-13,Lane
1224,-13,Lane
1225,-12,Lane
1226,-13,Lane
1227,-12,Lane
1228,-12,Lane
1229,-14,Lane
1230,-17,Lane
1231,-31,Lane
1232,None,Lane
1233,None,Lane
1234,79,Lane
1235,None,Lane
1236,None,Lane
1237,None,Lane
1238,None,Lane
1239,None,Lane
1240,None,Lane
1241,None,Lane
1242,None,Lane
1243,None,Lane
1244,None,Lane
1245,None,Lane
1246,None,Lane
1247,None,Lane
1248,None,Lane
1249,None,Lane
1250,None,Lane
1251,None,Lane
1252,9,Lane
1253,None,Lane
1254,-1,Lane
1255,None,Lane
1256,None,Lane
1257,None,Lane
1258,None,Lane
1259,97,Lane
1260,None,Lane
1261,-17,Lane
1262,-1,Lane
1263,-5,Lane
1264,-2,Lane
1265,6,Lane
1266,6,Lane
1267,7,Lane
1268,6,Lane
1269,-1,Lane
1270,-2,Lane
1271,0,Lane
1272,0,Lane
1273,0,Lane
1274,0,Lane
1275,0,Lane
1276,0,Lane
1277,0,Lane
1278,0,Lane
1279,0,Lane
1280,0,Lane
1281,0,Lane
1282,0,Lane
1283,0,Lane
1284,3,Lane
1285,7,Lane
1286,7,Lane
